departamento,municipio,nuestro_tiempo,fmln,n,pdc,vamos,pcn,gana,cd,leonardo_bonilla,impugnados,nulos,arena,coalicion_pcn,jesus_segovia,densidad,percent_urbano,masculinidad,relacion_dependencia,x60_anos_y_mas,tgf,tmi,tasa_analfabetismo,asistencia_escolar,agua_potable,electricidad,sin_servicio_sanitario,con_piso_de_tierra
morazan,el rosario,0,131,503,5,0,95,149,0,0,0,13,90,0,0,70.03138075313807,35.32486930545183,96.04685212298682,75.9526938239159,14.63778939507095,2.7,29,16.218721037998147,89.47368421052632,73.75690607734806,69.33701657458563,25.41436464088398,29.78723404255319
morazan,perquin,0,435,1410,7,0,104,99,0,0,5,36,570,0,0,28.96981928263462,5.7314756174794175,84.67836257309942,82.01729106628241,7.916402786573781,3.2,29,19.210977701543737,81.98847262247838,79.57142857142857,49.57142857142857,13.857142857142858,39.48497854077253
morazan,sensembra,0,62,840,3,0,19,88,0,0,6,16,306,0,0,133.5149863760218,27.040816326530614,84.09517845961177,92.91338582677166,9.761904761904763,3.3,31,36.65893271461717,78.88563049853371,62.06373292867981,57.96661608497724,38.998482549317146,49.49367088607595
morazan,gualococti,0,410,799,5,0,149,221,0,0,2,30,306,0,0,196.02577873254563,24.93150684931507,98.1541802388708,84.99746578813989,10.191780821917808,4.6,36,28.802946593001842,78.81136950904393,92.71523178807946,54.17218543046357,15.62913907284768,70.3125
morazan,san fernando,0,83,580,2,0,7,186,0,0,10,16,365,0,0,63.423691050872634,12.763466042154567,89.77777777777777,79.03563941299791,10.245901639344263,2.9,34,16.900369003690034,87.468671679198,71.74515235457064,49.86149584487535,15.512465373961218,49.202733485193626
morazan,san isidro,0,90,1192,4,0,104,118,0,0,0,25,219,0,0,243.61424847958298,26.640513552068473,90.8781484002723,80.90322580645162,9.593437945791726,3.1,33,29.280742459396752,88.40125391849529,86.09625668449198,56.32798573975044,49.376114081996434,65.29605263157895
san vicente,san vicente,231,1112,15542,293,600,29,125,216,0,20,237,2965,0,0,199.11318989710009,68.96810929660046,92.27822944896116,67.78495979820275,10.172326311239734,2.1,20,17.791570302544013,85.58091286307054,80.80668722609965,91.3731537088135,3.5789644538224317,15.476799415418341
san vicente,tecoluca,22,1859,6458,31,38,6,57,25,0,12,143,2120,0,0,83.9381696820657,43.845477754991,93.70085123631941,80.16136329362087,8.646884024609719,3,27,24.788716935572385,81.87081599421025,58.63874345549738,78.61847660868096,12.379665597027529,22.19650205761317
san vicente,san sebastian,10,393,4350,14,22,6,67,27,0,12,57,1089,0,0,878.1840341255332,45.472208729442784,92.71195506820006,80.88364503577256,12.018596905141905,3.1,28,13.900785153461815,92.00891435848456,58.535127055306425,89.77578475336323,7.8624813153961135,18.85887402171169
san vicente,apastepeque,21,366,5994,26,37,6,52,25,0,10,109,1780,0,0,152.14001327140014,26.491113291898376,94.17742959983062,80.60259944860181,9.857158434194744,2.4,33,19.79599015124868,86.44816364481636,62.73653566229985,88.64628820960698,16.73944687045124,31.792135941513532
