sex,hhsize,age_num,displace,yrs_dis,other_victim,endorse_coca,rest_yn,dis_return
female,5,63,1,13,0,agree,0,1
female,2,55,1,19,1,agree,1,1
male,3,29,0,,0,agree,0,
female,3,78,0,,0,agree,0,
female,3,54,0,,0,strong agree,0,
male,5,47,0,,1,agree,0,
male,6,51,0,,,neutral,0,
male,7,52,1,3,0,disagree,1,0
male,5,52,1,26,1,disagree,0,1
male,5,41,0,,0,agree,0,
male,2,61,0,,0,disagree,0,
male,6,63,0,,0,agree,0,
male,6,51,0,,1,,0,
male,3,62,1,27,0,disagree,0,0
female,5,69,0,,1,strong agree,0,
male,5,52,0,,1,agree,1,
female,8,65,1,17,0,agree,0,1
female,8,39,0,,1,agree,0,
male,3,29,0,,1,agree,0,
female,4,48,0,,1,neutral,1,
male,3,63,0,,0,strong disagree,0,
male,4,68,0,,0,agree,0,
female,7,45,0,,1,agree,0,
male,5,38,0,,0,agree,0,
female,4,34,1,17,0,agree,0,1
male,3,53,0,,0,agree,0,
male,3,79,1,20,1,agree,1,0
male,3,61,1,17,1,agree,0,1
female,3,57,0,,0,neutral,0,
female,4,45,0,,1,agree,0,
female,3,20,0,,0,neutral,0,
male,4,52,1,38,1,agree,1,0
female,9,59,1,14,1,strong disagree,1,0
male,4,87,0,,0,agree,0,
female,3,42,0,,0,strong agree,0,
male,4,69,0,,0,disagree,0,
female,4,77,0,,0,agree,0,
male,5,39,0,,1,agree,0,
male,3,62,1,19,0,agree,0,1
female,7,45,1,16,1,agree,1,1
male,10,42,1,14,1,neutral,0,1
male,11,64,0,,0,agree,0,
female,3,73,0,,1,strong agree,0,
male,3,50,1,22,0,neutral,1,1
female,4,32,0,,0,disagree,0,
male,4,65,1,13,0,strong agree,0,1
female,5,37,0,,0,disagree,0,
female,2,39,0,,0,strong agree,0,
male,5,42,1,14,0,disagree,1,1
male,3,27,1,16,1,agree,0,1
female,5,59,1,17,0,agree,0,0
female,9,48,1,16,0,disagree,0,1
female,4,58,0,,1,agree,0,
male,4,75,0,,0,disagree,0,
male,4,34,0,,1,agree,0,
female,2,77,0,,1,agree,0,
female,8,34,0,,1,agree,0,
male,4,52,0,,0,agree,0,
male,5,64,0,,0,disagree,0,
female,6,62,1,8,1,strong agree,0,1
male,6,57,0,,0,agree,0,
female,3,42,1,20,0,agree,0,0
female,5,35,1,14,1,neutral,0,0
male,5,53,1,12,1,agree,0,0
female,3,22,0,,0,neutral,0,
male,2,64,0,,1,strong agree,0,
male,3,65,0,,1,agree,0,
male,6,59,1,15,1,neutral,0,1
female,3,22,0,,0,,0,
female,4,25,1,17,1,disagree,0,0
female,4,38,1,15,0,agree,0,1
female,1,74,1,56,1,disagree,0,0
female,4,35,0,,1,agree,0,
female,4,55,0,,0,agree,0,
female,6,36,1,35,0,strong agree,0,0
female,4,63,1,10,0,agree,0,1
male,6,57,1,17,1,strong agree,1,1
male,5,39,1,15,1,,0,0
female,4,40,0,,0,agree,0,
female,4,37,1,16,0,strong agree,0,1
female,3,50,0,,1,agree,0,
female,4,24,1,7,1,strong agree,0,0
male,5,54,0,,0,agree,0,
male,4,51,1,20,0,agree,0,1
male,6,49,0,,1,disagree,0,
male,5,45,0,,0,strong agree,0,
female,7,26,0,,0,disagree,0,
female,4,54,1,15,1,strong agree,1,1
female,3,53,1,25,1,agree,0,1
female,2,54,1,25,0,disagree,0,1
male,1,70,0,,0,neutral,0,
male,3,72,1,15,1,disagree,0,1
male,2,74,1,15,0,agree,0,1
male,1,82,0,,0,neutral,0,
female,5,45,0,,0,strong disagree,0,
male,5,39,0,,0,disagree,1,
female,5,41,1,12,0,agree,0,0
male,3,50,1,20,1,disagree,0,0
female,4,50,1,15,1,agree,0,1
male,6,51,0,,0,strong agree,0,
female,3,27,1,15,0,disagree,0,1
female,6,39,1,17,1,agree,0,0
female,3,51,0,,0,agree,0,
female,5,38,0,,0,agree,0,
female,2,23,0,,0,strong disagree,0,
female,4,40,0,,0,disagree,0,
female,3,25,0,,0,agree,0,
male,4,34,0,,1,neutral,0,
male,5,24,0,,0,agree,0,
male,5,44,1,25,1,agree,0,1
male,3,64,1,15,0,strong agree,0,1
female,5,29,1,15,0,disagree,0,1
female,2,66,1,21,0,neutral,0,0
female,4,31,1,13,1,agree,1,0
male,5,45,1,14,1,agree,0,1
female,4,50,0,,0,neutral,0,
female,5,31,0,,0,neutral,0,
female,1,61,0,,1,strong agree,0,
female,9,39,0,,0,neutral,0,
male,5,63,0,,0,neutral,0,
male,5,46,0,,0,agree,0,
male,5,42,1,11,1,neutral,0,1
male,6,39,0,,1,strong agree,0,
female,5,40,1,5,1,neutral,0,1
female,3,27,0,,0,neutral,0,
male,3,58,0,,0,agree,0,
female,2,72,0,,0,neutral,0,
male,2,25,0,,1,agree,0,
female,1,57,0,,0,disagree,0,
female,3,39,0,,1,agree,0,
female,2,77,1,10,0,strong agree,0,1
male,4,91,1,67,0,,0,0
female,4,41,0,,0,agree,0,
male,5,33,1,17,1,agree,0,1
female,3,38,0,,0,neutral,0,
female,2,72,0,,1,,0,
female,3,56,1,17,0,strong agree,0,1
female,3,87,1,69,1,agree,0,1
male,1,64,1,19,1,strong agree,0,1
male,1,72,1,27,1,agree,0,0
male,2,62,0,,0,strong agree,0,
male,2,20,0,,1,strong agree,0,
female,5,52,1,18,0,strong agree,0,0
female,5,28,1,14,0,disagree,1,0
male,6,39,1,8,1,strong agree,0,0
male,1,33,0,,1,agree,0,
female,3,71,0,,0,agree,0,
female,4,56,0,,0,agree,0,
female,7,69,0,,0,agree,0,
female,7,70,0,,0,agree,0,
female,4,33,0,,1,agree,0,
female,2,72,0,,0,strong disagree,0,
male,2,74,0,,0,agree,0,
female,3,28,1,7,1,agree,0,1
female,4,62,0,,1,agree,0,
female,3,55,0,,1,,0,
female,4,43,1,15,0,disagree,0,1
female,4,37,0,,1,strong agree,0,
female,3,73,0,,0,strong agree,0,
female,3,50,0,,0,strong agree,0,
male,2,52,0,,0,strong agree,0,
male,5,73,1,4,0,agree,0,0
male,4,61,0,,1,agree,0,
male,7,41,0,,1,agree,0,
female,2,56,0,,0,agree,0,
female,3,59,0,,0,agree,0,
male,2,63,0,,0,strong agree,0,
male,4,76,1,20,1,agree,0,1
female,4,36,0,,0,,0,
female,4,29,0,,1,neutral,0,
female,3,64,1,36,0,agree,0,1
female,6,58,1,9,0,agree,0,0
female,3,29,1,17,0,agree,0,0
female,4,50,0,,0,agree,0,
male,8,43,0,,1,agree,0,
male,5,79,0,,0,neutral,0,
male,2,71,1,10,1,disagree,1,1
female,3,27,0,,1,strong agree,1,
female,6,53,1,10,0,neutral,0,1
male,1,62,0,,1,agree,0,
male,1,62,1,16,0,agree,0,1
female,5,58,0,,0,strong agree,0,
male,4,45,0,,1,disagree,0,
female,2,73,0,,0,agree,0,
male,2,41,1,22,1,strong agree,0,0
male,3,23,0,,0,neutral,0,
male,4,43,0,,1,agree,0,
female,4,36,0,,0,strong agree,0,
